,k,inertia
0,1.0,108.0
1,2.0,104.13993028735564
2,3.0,102.29139459161263
3,4.0,100.70223628251304
4,5.0,99.28853388704404
5,6.0,97.77911195151155
6,7.0,97.18432611079473
7,8.0,95.80797306226239
8,9.0,94.97722699726768
9,10.0,94.2299218583345
10,11.0,93.15959605748498
11,12.0,91.76445911421116
12,13.0,91.17311740720591
13,14.0,90.28570877841584
14,15.0,88.77987434640528
15,16.0,88.26367008060606
16,17.0,86.82049870053574
17,18.0,86.06132003587132
18,19.0,84.9108009366714
19,20.0,84.24587905681118
20,21.0,83.13244202746779
21,22.0,81.79393637114421
22,23.0,81.44238460878016
23,24.0,80.03937017007357
24,25.0,78.15050605947245
25,26.0,78.15841396666622
26,27.0,77.42519167323056
27,28.0,76.50334972315565
28,29.0,75.28582676810723
29,30.0,74.01484114917022
30,31.0,73.33963618298303
31,32.0,72.739599771416
32,33.0,71.32559887976275
33,34.0,70.02783832253886
34,35.0,70.00254969743008
35,36.0,68.99836371446935
36,37.0,67.7003153998095
37,38.0,66.76877813623129
38,39.0,66.37057389529608
39,40.0,65.13191892379636
40,41.0,64.40143912069463
41,42.0,63.35964284100966
42,43.0,62.016268056661765
43,44.0,61.12697483521265
44,45.0,60.38739916791112
45,46.0,58.66970184807926
46,47.0,59.006646795613186
47,48.0,57.69924164925213
48,49.0,57.25368091652057
49,50.0,56.0459537337998
50,51.0,54.558289191443414
51,52.0,53.956570523913776
52,53.0,53.40281933227969
53,54.0,52.298640010774534
54,55.0,51.27510070398893
55,56.0,50.58579511473983
56,57.0,49.12317227745873
57,58.0,48.69595274545866
58,59.0,47.856898667700854
59,60.0,47.020106726031884
60,61.0,45.752400524684795
61,62.0,45.351780609089495
62,63.0,45.322607559649484
63,64.0,43.55764060910585
64,65.0,43.40158021407695
65,66.0,42.444975433645475
66,67.0,42.43707266692987
67,68.0,40.94777933790597
68,69.0,40.6436212888594
69,70.0,39.95045378160333
70,71.0,39.00834731161112
71,72.0,39.1409535662919
72,73.0,37.73783689520043
73,74.0,37.3413030525894
74,75.0,37.68106555352252
75,76.0,36.715454592161024
76,77.0,35.83807436994165
77,78.0,35.31935287345626
78,79.0,34.55216632839721
79,80.0,34.37507496319001
80,81.0,34.069613280149994
81,82.0,33.174867450393876
82,83.0,33.468130589071734
83,84.0,33.050597245381816
84,85.0,31.98935492374162
85,86.0,31.552620676862645
86,87.0,31.927446227812524
87,88.0,31.425256731398697
88,89.0,32.06009429957979
89,90.0,30.943913972327167
90,91.0,31.120929763051564
91,92.0,30.67537886556102
92,93.0,30.925757797569183
93,94.0,30.48488454700401
94,95.0,30.32996756413684
95,96.0,29.869464233180846
96,97.0,30.167347031130205
97,98.0,29.889182441413663
98,99.0,29.95765999465706
99,100.0,29.910522154008554
